Index,Symbol,CompanyName
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh
2,ACB,Ngân hàng Thương mại Cổ phần Á Châu
3,AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia
4,ANV,Công ty Cổ phần Nam Việt
5,ASM,Công ty Cổ phần Tập đoàn Sao Mai
6,BCG,Công ty Cổ phần Tập đoàn Bamboo Capital
7,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP
8,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
9,BMP,Công ty Cổ phần Nhựa Bình Minh
10,BVH,Tập đoàn Bảo Việt
11,BWE,Công ty Cổ phần – Tổng Công ty Nước – Môi trường Bình Dương
12,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM
13,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
14,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
15,CTD,Công ty Cổ phần Xây dựng COTECCONS
16,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
17,CTR,Tổng Công ty Cổ phần Công trình Viettel
18,DBC,Công ty Cổ phần Tập đoàn DABACO Việt Nam
19,DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau
20,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang
21,DGW,Công ty Cổ phần Thế Giới Số 
22,DHC,Công ty Cổ phần Đông Hải Bến Tre
23,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
24,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí – Công ty Cổ phần
25,DXG,Công ty Cổ phần Tập đoàn Đất Xanh
26,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh
27,EIB,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam
28,FPT,Công ty Cổ phần FPT
29,FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
30,FTS,Công ty Cổ phần Chứng khoán FPT
31,GAS,Tổng Công ty Khí Việt Nam – Công ty Cổ phần
32,GEG,Công ty Cổ phần Điện Gia Lai
33,GEX,Công ty Cổ phần Tập đoàn GELEX
34,GMD,Công ty Cổ phần GEMADEPT
35,GVR,Tập đoàn Công nghiệp Cao su Việt Nam – Công ty Cổ phần
36,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
37,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
38,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu
39,HDG,Công ty Cổ phần Tập đoàn Hà Đô
40,HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả
41,HPG,Công ty Cổ phần Tập đoàn Hòa Phát
42,HSG,Công ty Cổ phần Tập đoàn Hoa Sen
43,HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên
44,IMP,Công ty Cổ phần Dược phẩm Imexpharm
45,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần
46,KDC,Công ty Cổ phần Tập đoàn Kido
47,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền
48,KOS,Công ty Cổ phần KOSY
49,LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt
50,MBB,Ngân hàng Thương mại Cổ phần Quân Đội
51,MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam
52,MSN,Công ty Cổ phần Tập đoàn MaSan
53,MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động
54,NKG,Công ty Cổ phần Thép Nam Kim
55,NLG,Công ty Cổ phần Đầu tư Nam Long
56,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
57,NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
58,OCB,Ngân hàng Thương mại Cổ phần Phương Đông
59,PAN,Công ty Cổ phần Tập đoàn PAN
60,PC1,Công ty Cổ phần Tập đoàn PC1
61,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
62,PHR,Công ty Cổ phần Cao su Phước Hòa
63,PLX,Tập đoàn Xăng dầu Việt Nam
64,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
65,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – CTCP
66,PPC,Công ty Cổ phần Nhiệt điện Phả Lại
67,PTB,Công ty Cổ phần Phú Tài
68,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí
69,PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
70,REE,Công ty Cổ phần Cơ Điện Lạnh
71,SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn
72,SAM,Công ty Cổ phần SAM Holdings
73,SBT,Công ty Cổ phần Thành Thành Công – Biên Hòa
74,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín
75,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn
76,SHB,Ngân hàng TMCP Sài Gòn – Hà Nội
77,SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà
78,SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á
79,SSI,Công ty Cổ phần Chứng khoán SSI
80,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
81,SZC,Công ty Cổ phần Sonadezi Châu Đức
82,TCB,Ngân hàng TMCP Kỹ Thương Việt Nam
83,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
84,TMS,Công ty Cổ phần Transimex
85,TPB,Ngân hàng Thương mại Cổ phần Tiên Phong
86,VCB,Ngân hàng TMCP Ngoại Thương Việt Nam
87,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
88,VCI,Công ty Cổ phần Chứng khoán VIETCAP
89,VHC,Công ty Cổ phần Vĩnh Hoàn
90,VHM,Công ty Cổ phần Vinhomes
91,VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam
92,VIC,Tập đoàn Vingroup – Công ty Cổ phần
93,VIX,Công ty Cổ phần Chứng khoán VIX
94,VJC,Công ty Cổ phần Hàng không VietJet
95,VND,Công ty Cổ phần Chứng khoán VNDIRECT
96,VNM,Công ty Cổ phần Sữa Việt Nam
97,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
98,VPI,Công ty Cổ phần Đầu tư Văn Phú – Invest
99,VRE,Công ty Cổ phần Vincom Retail
100,VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh
